ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,18380.86773,1.626034456,0.446057591,2.699248424,0.878909295,0.080512365,0.860491212,1.740127759,0.04930088,0.75781859,0.473296427,0.757813404,0.139486838,0.073950217,7.589978794,1.121136975,1.108681822,0.193193693
A2,16059.34176,1.468830884,0.403383801,2.468734061,0.850056906,0.068615535,0.815479897,1.491542113,0.042590752,0.700113812,0.427604312,0.700108737,0.18449948,0.06388507,6.385848413,1.093733406,1.09441987,0.091203102
A3,16439.0147,1.537058914,0.418683567,2.531591516,0.863187277,0.071429098,0.837171153,1.586799643,0.044262994,0.726374553,0.450015113,0.726369156,0.162805692,0.066393331,6.814079342,1.106466781,1.0977565,0.133316913
A4,17757.85364,1.584897286,0.44511451,2.715856601,0.871006923,0.087807274,0.847657593,1.685923552,0.054166962,0.742013846,0.452187844,0.742008688,0.152322925,0.081249202,7.359996087,1.113514653,1.120291686,0.168020244
A5,18718.00374,1.648713327,0.450983433,2.726631339,0.882708706,0.090694615,0.865711223,1.783934205,0.055197283,0.765417411,0.481923586,0.765412237,0.134263421,0.082794737,7.823368449,1.124592318,1.121068008,0.209226495
A6,17556.42618,1.597031471,0.43784775,2.646660947,0.873994594,0.07246294,0.853645786,1.686064788,0.04465341,0.747989189,0.464604713,0.747983856,0.146328982,0.066979024,7.30697843,1.116647641,1.098779909,0.172949994
A7,18808.81088,1.667498855,0.468378335,2.872453602,0.88569715,0.091452133,0.869637623,1.829700017,0.056439363,0.7713943,0.475516389,0.77138902,0.130341973,0.084657783,8.097572045,1.127265258,1.126873031,0.223437352
A8,15288.89439,1.362268086,0.372822867,2.359078289,0.828214878,0.05937413,0.776398287,1.363768208,0.036998468,0.656429755,0.39959864,0.656425077,0.22357691,0.055496792,5.870014217,1.071918188,1.084158969,0.029528993
A9,17711.5315,1.628697419,0.438301292,2.638116595,0.879601652,0.076416153,0.861930244,1.739729308,0.046677501,0.759203304,0.482045135,0.759197879,0.138050784,0.070015132,7.575884448,1.121873615,1.102392076,0.194158675
A10,15248.5212,1.360882484,0.367063824,2.312842753,0.828214759,0.053834325,0.776691564,1.353887936,0.033164442,0.656429518,0.404265768,0.656424828,0.223288207,0.049745829,5.799874449,1.071988833,1.074821386,0.02750852
A11,18277.93502,1.659830144,0.465061412,2.846929006,0.884475093,0.088414805,0.868128872,1.814625859,0.054886656,0.768950187,0.474178964,0.768944754,0.131850977,0.082328678,8.018342544,1.126189938,1.123919117,0.217861881
A12,18110.67764,1.623080007,0.448633429,2.717251167,0.878352743,0.079448862,0.85968303,1.737998594,0.048910481,0.756705485,0.469447038,0.756700233,0.140287157,0.073364606,7.588928093,1.120620134,1.108554561,0.191494777
A13,18107.39891,1.665515676,0.457303592,2.762974077,0.885472032,0.092644989,0.869541387,1.821015481,0.056594235,0.770944065,0.486013363,0.770938567,0.130437225,0.084890019,8.034897375,1.127107137,1.124752603,0.221552446
A14,17607.72112,1.579539337,0.440436417,2.674847306,0.87038346,0.080171182,0.847351342,1.668373402,0.049334426,0.74076692,0.453326906,0.74076173,0.152628963,0.07400049,7.248647806,1.113068631,1.108990414,0.163171763
A15,18407.90549,1.656465785,0.458988217,2.792663749,0.884010912,0.081794491,0.867617372,1.802835978,0.050249063,0.768021823,0.478380649,0.768016494,0.132356799,0.075372445,7.938564265,1.125798882,1.111973824,0.214944103
A16,18720.49745,1.650374283,0.459778595,2.809808693,0.882652061,0.086755504,0.865072531,1.799368477,0.053304983,0.765304123,0.474547837,0.76529891,0.134907352,0.079956281,7.939390174,1.124413328,1.118854728,0.211926801
A17,18767.6066,1.691027313,0.466715289,2.839951483,0.8895544,0.097055661,0.874851675,1.87842696,0.058988229,0.7791088,0.491943487,0.779103413,0.125124383,0.088481028,8.364752515,1.13075148,1.130155965,0.240517238
A18,18223.74417,1.648257477,0.453069853,2.747728681,0.882852685,0.083799198,0.866412977,1.780202478,0.051493921,0.76570537,0.478847973,0.765700019,0.133567544,0.077239698,7.800148852,1.124831247,1.114440094,0.20822199
A19,18264.64545,1.642463334,0.457817196,2.792272223,0.881746085,0.084043728,0.864622108,1.773317638,0.052341639,0.76349217,0.470598261,0.763486791,0.135364143,0.078511206,7.776188811,1.123764591,1.11836317,0.204669369
A20,17045.17361,1.596091664,0.425902819,2.556740691,0.874213302,0.06690587,0.854753088,1.675869187,0.041197289,0.748426603,0.475226264,0.748421069,0.145223031,0.061794852,7.233324407,1.117021833,1.090694751,0.170936043
A21,18755.35609,1.693037686,0.465713443,2.831710653,0.890018204,0.102601529,0.87571033,1.878645245,0.062416497,0.780036408,0.493857179,0.78003103,0.124270764,0.093623378,8.357109076,1.131222179,1.137886006,0.241403388
A22,18477.31857,1.640587701,0.443589956,2.675141977,0.881511421,0.072914886,0.864389929,1.764319582,0.044230901,0.763022842,0.484000126,0.763017617,0.135588313,0.066345352,7.710054695,1.123574398,1.096543412,0.202856976
A23,18119.54369,1.642750815,0.453139073,2.743570765,0.881825184,0.088622721,0.864754903,1.76999604,0.054217501,0.763650367,0.475853775,0.76364503,0.13522859,0.081325021,7.743760962,1.12384304,1.119452408,0.204606316
A24,17675.75479,1.565249424,0.439104666,2.699408612,0.866623467,0.082128089,0.839137889,1.669806508,0.050507834,0.733246934,0.447925594,0.733241872,0.160840102,0.075760601,7.32162605,1.108991647,1.112694307,0.15787377
A25,18290.22879,1.646896492,0.445138167,2.678083308,0.88275333,0.072010827,0.866472687,1.772380113,0.043639225,0.765506659,0.485977945,0.765501356,0.133507583,0.065457846,7.744015309,1.12478595,1.095159912,0.206633915
A26,18004.25817,1.631253874,0.442315309,2.658322476,0.880105806,0.078134005,0.862790559,1.742402768,0.047663107,0.760211613,0.479891392,0.760206273,0.137198026,0.071493553,7.583935521,1.122366798,1.104404329,0.195664211
A27,17309.4963,1.591817858,0.442453032,2.701200707,0.87248219,0.073998655,0.850309039,1.692975795,0.046535703,0.74496438,0.457605218,0.744958895,0.149673426,0.069802285,7.385095353,1.11499396,1.105938501,0.171779647
A28,19280.76924,1.69430907,0.471277408,2.872345194,0.889907675,0.09873971,0.874948729,1.889441383,0.059822009,0.779815351,0.490018224,0.779810123,0.125024727,0.089731747,8.43392396,1.130987536,1.131584711,0.243582384
A29,17470.77092,1.580716752,0.436180177,2.642808547,0.870446181,0.084475771,0.847111146,1.6723956,0.051937081,0.740892363,0.458450353,0.740887089,0.152873995,0.077904376,7.272332315,1.113054969,1.114376763,0.164412797
A30,17634.1215,1.59807795,0.463623847,2.900821462,0.871608287,0.106047703,0.845244386,1.755551172,0.066130398,0.743216574,0.443305155,0.743211332,0.154738228,0.099194065,7.846666955,1.113350542,1.150385386,0.183595509
A31,17756.38694,1.577678177,0.442956578,2.724735223,0.869118714,0.084611497,0.843680664,1.689017327,0.052236387,0.738237429,0.450922195,0.73823233,0.156299168,0.078353403,7.417755882,1.111494879,1.116829594,0.165499151
A32,18370.99048,1.610134171,0.450121335,2.747600802,0.875037298,0.097225645,0.852905152,1.740550808,0.059554871,0.750074596,0.462817918,0.750069501,0.147076991,0.089331005,7.665067399,1.117111259,1.131568342,0.186720599
A33,16779.052,1.546169605,0.427253944,2.610288016,0.863803132,0.089342973,0.83649581,1.630246276,0.05519859,0.727606265,0.449043113,0.727600984,0.163487814,0.082796549,7.10758112,1.106679331,1.121957792,0.14356042
A34,17932.01494,1.628588378,0.446835457,2.713083025,0.87939286,0.076182287,0.861425703,1.748606798,0.046743959,0.758785719,0.474165616,0.758780377,0.138549135,0.070114838,7.649176325,1.121631649,1.103556158,0.195116463
A35,18097.29375,1.640493347,0.443184139,2.673342452,0.881381173,0.079395494,0.864043904,1.768151287,0.048319591,0.762762345,0.484648776,0.762756997,0.13593594,0.072478275,7.74077228,1.123416794,1.105806904,0.203325737
A36,17103.79426,1.528229351,0.423667703,2.594697486,0.860287084,0.085895558,0.830515078,1.603641588,0.052988822,0.720574168,0.442677327,0.720569106,0.169463899,0.079481997,6.978799386,1.103234088,1.116904385,0.132541965
A37,16616.70558,1.5196718,0.416128279,2.536442427,0.859439307,0.060524999,0.830262892,1.570095247,0.038068716,0.718878613,0.442708379,0.718873355,0.169716692,0.057102038,6.760476886,1.102673665,1.086197396,0.123966109
A38,17903.40248,1.614689079,0.444019216,2.689026761,0.876941215,0.082273646,0.857785255,1.722664697,0.05079984,0.753882431,0.469062371,0.753877112,0.142192898,0.076198549,7.509994953,1.119342316,1.112955845,0.18564341
A39,17407.21102,1.619604499,0.436026454,2.622843138,0.878012941,0.065767188,0.859539122,1.721962345,0.0403287,0.756025881,0.478977153,0.756020353,0.140435965,0.060491996,7.478802571,1.120386871,1.088807896,0.187853177
A40,17426.18104,1.559883231,0.448781673,2.806440187,0.864867797,0.088628738,0.834855454,1.678872812,0.055054145,0.729735593,0.435268253,0.729730483,0.165121173,0.082579915,7.416361617,1.106989799,1.125074111,0.157148151
A41,17275.61155,1.55041735,0.424991101,2.583523779,0.865027398,0.087699751,0.839027513,1.623207174,0.054319536,0.730054795,0.452184765,0.730049608,0.16094745,0.081477989,7.032799282,1.107987434,1.120137947,0.144377415
A42,17364.94632,1.544993763,0.40958897,2.461450502,0.865288226,0.060190482,0.841677147,1.584576201,0.037086802,0.730576453,0.461893035,0.73057132,0.158309879,0.055629297,6.763048903,1.108728634,1.081058314,0.136072454
A43,18056.46402,1.637955535,0.452428848,2.732736596,0.881294088,0.083100769,0.864566965,1.754498607,0.051133947,0.762588175,0.473246378,0.762582797,0.135421671,0.076699716,7.647547729,1.123478613,1.113291653,0.200193651
A44,17004.42928,1.570935456,0.429313988,2.620598623,0.868447106,0.083143247,0.843588512,1.662553316,0.051047265,0.736894212,0.459752352,0.736888851,0.156391999,0.076569646,7.242611095,1.111069619,1.11290706,0.158842068
A45,19128.98147,1.697695453,0.472938852,2.902687836,0.890310641,0.107735004,0.875163808,1.901511764,0.06552234,0.780621282,0.490132455,0.780616005,0.12481467,0.098282109,8.514944868,1.131279245,1.145263922,0.246642026
A46,18251.90294,1.634216037,0.450616264,2.727151442,0.880435408,0.080104993,0.862903393,1.752922218,0.049027259,0.760870816,0.473407542,0.760865543,0.137075934,0.073539761,7.652662484,1.12259382,1.108183871,0.198420093
A47,18027.31701,1.597915254,0.438597059,2.665757049,0.873253896,0.087076311,0.850829058,1.707395938,0.053501243,0.746507792,0.465826369,0.74650259,0.149137542,0.080250607,7.463061518,1.115580001,1.118231292,0.17684931
A48,17194.38739,1.575647832,0.424386465,2.561766644,0.870397429,0.064124852,0.848592024,1.64373776,0.040009869,0.740794857,0.46462328,0.740789455,0.151373308,0.060013741,7.077799137,1.113356911,1.089243177,0.1577833
A49,17470.4662,1.574423069,0.419805229,2.524967277,0.870535363,0.069352104,0.849494488,1.633866574,0.042719891,0.741070726,0.468230013,0.741065476,0.150474441,0.064078794,7.008767832,1.113637776,1.093709719,0.155667337
A50,17642.2412,1.587452324,0.423121679,2.543714233,0.872709322,0.074307771,0.852399046,1.657493805,0.04562944,0.745418645,0.47250249,0.745413389,0.147578902,0.068443078,7.1298153,1.115596753,1.100044164,0.164770811
B1,17498.22934,1.559202301,0.428150314,2.586766781,0.868116798,0.066640644,0.846532565,1.605056351,0.042345449,0.736233595,0.450672432,0.736228403,0.153444589,0.063517106,6.86264601,1.111513482,1.096163604,0.144619102
B2,16908.17159,1.464192887,0.408143773,2.455954332,0.851738851,0.06358415,0.823166764,1.435355943,0.041056997,0.703477703,0.416170548,0.70347279,0.176807133,0.061584436,5.991533614,1.096430839,1.092831179,0.079414082
B3,17415.12332,1.513148918,0.41967791,2.528376055,0.859801774,0.076751121,0.833729657,1.526276863,0.048173925,0.719603548,0.433555617,0.719598602,0.166248869,0.072259765,6.460631253,1.103655577,1.1067887,0.114049109
B4,17767.82186,1.539604324,0.426119803,2.55447222,0.86519692,0.074378806,0.843164362,1.556610741,0.046482408,0.730393841,0.441226883,0.730388869,0.156823718,0.069722544,6.577764937,1.109001085,1.102783027,0.129249721
B5,17141.25424,1.531774757,0.404257201,2.44997139,0.862038049,0.068942248,0.834438059,1.575006124,0.042432663,0.724076099,0.459895325,0.724070984,0.165546125,0.063647958,6.743410783,1.105190724,1.093436411,0.129837863
B6,17979.40071,1.566885034,0.432207024,2.609448684,0.869021449,0.078600033,0.846808766,1.622923816,0.049144245,0.738042897,0.451833487,0.738037849,0.15316576,0.073715224,6.956739286,1.112130345,1.109727104,0.151097801
B7,17152.66142,1.532106956,0.416423664,2.496178434,0.863794203,0.068858967,0.840943582,1.545628701,0.042860819,0.727588405,0.446573244,0.727583268,0.159035538,0.064290179,6.527025534,1.107662592,1.094100387,0.124513359
B8,17314.09468,1.531504713,0.419793854,2.522408389,0.863158465,0.068931879,0.83897795,1.556084418,0.042854716,0.726316929,0.443874585,0.72631185,0.160999828,0.064281028,6.607186252,1.106845198,1.09420772,0.126057397
B9,17468.28341,1.55892985,0.425158599,2.561794551,0.868181059,0.060754176,0.846752063,1.599000975,0.038224594,0.736362118,0.453290425,0.736356948,0.153239326,0.057335953,6.813405507,1.11160118,1.085792295,0.143828003
B10,17527.49564,1.568131134,0.438269666,2.632484741,0.869683195,0.083853281,0.848741456,1.616335691,0.052235641,0.739366391,0.446107563,0.73936116,0.151229398,0.078352189,6.902135406,1.112953684,1.115352475,0.15043303
B11,17084.54421,1.510316002,0.411723801,2.486062659,0.858994927,0.068175211,0.831913542,1.527163561,0.043146694,0.717989855,0.439746876,0.717984775,0.168067463,0.064718933,6.478010196,1.102767006,1.096667072,0.113201326
B12,17744.20026,1.553261759,0.41998483,2.533886105,0.866279965,0.083081747,0.841909691,1.604438875,0.051372057,0.732559929,0.45667682,0.732554907,0.158082439,0.07705691,6.873958823,1.109393449,1.113125545,0.142929544
B13,15262.39065,1.353278082,0.360181479,2.183037288,0.831889927,0.047607694,0.793752997,1.263398262,0.030875625,0.663779855,0.402332755,0.663775008,0.20622113,0.046312549,5.181215003,1.07790033,1.068363075,0.006737181
B14,16770.64187,1.518838842,0.401859296,2.412579452,0.861269483,0.060546588,0.836861412,1.527614565,0.037732652,0.722538965,0.453410123,0.722533764,0.163115834,0.056598004,6.448625425,1.105233044,1.082898395,0.116308498
B15,16520.58648,1.518580074,0.402415337,2.410389974,0.861421358,0.054913384,0.837560468,1.524318767,0.034533284,0.722842717,0.452631596,0.722837391,0.162422848,0.051798949,6.426235265,1.105474402,1.076344781,0.115536401
B16,17841.40496,1.507813244,0.430975622,2.588839777,0.859392911,0.092459962,0.834205712,1.506986488,0.058356618,0.718785822,0.418557634,0.718781015,0.165761427,0.087533627,6.340634767,1.103512164,1.129590596,0.10860572
B17,16042.68765,1.397660159,0.386312933,2.309685979,0.840938278,0.051414505,0.809721634,1.316578337,0.034151237,0.681876556,0.400261308,0.681871691,0.190249164,0.051225907,5.396315893,1.086895214,1.07768388,0.032453421
B18,16240.99561,1.397342483,0.382190861,2.298979208,0.84001763,0.059305712,0.806308868,1.327700168,0.038631604,0.680035261,0.404979412,0.680030489,0.193660537,0.057946371,5.474457566,1.085599931,1.086774025,0.034818819
B19,17559.59794,1.534419589,0.423841168,2.545004428,0.863882444,0.07736207,0.840438537,1.555748741,0.048324679,0.727764888,0.441096702,0.727759857,0.159533082,0.072485875,6.591709093,1.107607078,1.106529813,0.127197556
B20,16625.88308,1.420657481,0.395957722,2.365676813,0.844567976,0.067757611,0.813767828,1.357133353,0.043643738,0.689135952,0.404147807,0.689131193,0.186218875,0.06546452,5.597149443,1.090003287,1.097076924,0.048780585
B21,16784.27172,1.468048781,0.400054818,2.409865215,0.851970716,0.069718736,0.822528724,1.44879516,0.04375057,0.703941431,0.427274092,0.703936531,0.177444167,0.065624804,6.072836496,1.0964352,1.095930341,0.083429636
B22,16585.7416,1.435084607,0.392589297,2.344351609,0.847378284,0.062944566,0.818603,1.377160403,0.040110645,0.694756569,0.415304628,0.694751741,0.181373908,0.060164987,5.686481135,1.09276688,1.088068611,0.057657766
B23,17177.81711,1.517825792,0.413159352,2.481392604,0.861201295,0.068397773,0.836990262,1.524228273,0.043094009,0.72240259,0.441700541,0.722397518,0.16298785,0.064639946,6.428641846,1.105219375,1.095850941,0.11526486
B24,17492.44007,1.555822342,0.417139746,2.513253975,0.867485145,0.062256303,0.845526609,1.598035354,0.039270541,0.73497029,0.459652873,0.734965134,0.154458073,0.058904836,6.819840213,1.110907184,1.088301064,0.142388964
B25,15546.2656,1.390439391,0.375739817,2.260236636,0.838854773,0.049333019,0.804892343,1.317018453,0.032052456,0.677709547,0.407684085,0.677704574,0.195082066,0.048077761,5.424800665,1.084574104,1.071494271,0.030199025
B26,17648.70269,1.557956337,0.431281058,2.591069911,0.868142036,0.071339443,0.847011312,1.594884074,0.044944218,0.736284072,0.446913657,0.736278917,0.152975707,0.067415216,6.786455941,1.111632874,1.100719474,0.142749136
B27,16386.94588,1.459912267,0.390281451,2.352410554,0.850957366,0.050788559,0.822113791,1.430892392,0.032517186,0.701914733,0.431731297,0.701909673,0.177853482,0.048774877,5.977309064,1.095720647,1.072811618,0.076851093
B28,16216.96942,1.405837425,0.387650209,2.336697145,0.840929074,0.063847563,0.805927197,1.346806737,0.040934431,0.681858148,0.404319401,0.68185334,0.194049131,0.061400572,5.576295587,1.086090443,1.090936769,0.041927278
B29,17434.81117,1.578026521,0.424686069,2.564700285,0.871235368,0.067890805,0.850704631,1.639716763,0.042497963,0.742470736,0.464900436,0.742465439,0.149270234,0.06374588,7.038759064,1.114325873,1.09521967,0.157933603
B30,17319.64236,1.53393034,0.420401936,2.528196066,0.863739352,0.072619751,0.840163717,1.557287249,0.045384331,0.727478705,0.444372957,0.727473616,0.159826061,0.068075402,6.606523162,1.107455091,1.100469977,0.127155879
B31,16852.64958,1.504584136,0.39534395,2.37442412,0.85886985,0.062577929,0.833718497,1.502604609,0.039327312,0.717739701,0.451631409,0.717734562,0.166267566,0.058989941,6.322366856,1.103076679,1.086738183,0.106482614
B32,16882.20827,1.484712965,0.405619234,2.421309046,0.855795099,0.073119719,0.830103442,1.462342961,0.046251761,0.711590198,0.430663732,0.711585175,0.169864354,0.069376481,6.108135653,1.100415629,1.101910204,0.091758216
B33,17731.57892,1.536063905,0.426759909,2.573569572,0.863925865,0.086223527,0.839935489,1.562117365,0.053774052,0.727851731,0.438979719,0.727846775,0.160030282,0.080659861,6.630788385,1.107526951,1.118606632,0.129058501
B34,18222.85646,1.560849924,0.451452235,2.739751452,0.867519657,0.10347475,0.84347391,1.616556458,0.064216338,0.735039314,0.429509244,0.735034426,0.15651152,0.096323141,6.92926727,1.110492889,1.141918641,0.148185097
B35,17133.41631,1.524197555,0.405518525,2.426395317,0.862284551,0.053525306,0.838480917,1.534811648,0.033414687,0.724569103,0.453048364,0.724563982,0.16147939,0.050121159,6.479365233,1.106208714,1.073501537,0.119631653
B36,16425.1606,1.42322018,0.403690411,2.40673593,0.845107341,0.072779268,0.814901926,1.360234896,0.046721157,0.690214681,0.397752231,0.690209842,0.185079153,0.070080561,5.609321435,1.090573504,1.102980991,0.050283663
B37,16789.60861,1.477817231,0.401090504,2.442100122,0.852331907,0.073530441,0.819668812,1.485007902,0.045830277,0.704663814,0.432533208,0.704658878,0.180299393,0.068744301,6.295112616,1.096055835,1.101429152,0.094072628
B38,17670.5031,1.563305449,0.443298522,2.669398887,0.868599817,0.101084641,0.846632076,1.610820134,0.063405561,0.737199635,0.438432559,0.737194496,0.1533465,0.095106835,6.878661727,1.111832396,1.14092989,0.147866046
B39,17171.43859,1.457660555,0.41356438,2.468870419,0.851007834,0.085970308,0.822905014,1.416623003,0.054703846,0.702015668,0.407189016,0.702010897,0.17706596,0.082054488,5.881560828,1.095930295,1.120678086,0.073553958
B40,15736.56907,1.350872601,0.379154269,2.277040123,0.832071817,0.046086196,0.79548018,1.252060406,0.031273506,0.664143634,0.381635412,0.664138935,0.204489384,0.046909358,5.111652225,1.078381642,1.072082267,0.003390375
B41,17973.97181,1.541045438,0.433162622,2.605630444,0.86531151,0.083010463,0.843025655,1.561676864,0.052804928,0.73062302,0.434829914,0.730618054,0.156954416,0.079206167,6.609150123,1.109043136,1.119315993,0.13069532
B42,16339.62444,1.45638591,0.391162748,2.329515595,0.851090494,0.065063572,0.823860748,1.411330008,0.04131514,0.702180988,0.428811636,0.702175954,0.176115798,0.061971649,5.849726313,1.096180892,1.090627385,0.071900109
B43,16431.98899,1.456140182,0.388655021,2.339268053,0.850069293,0.055850678,0.820039389,1.424978266,0.035174947,0.700138586,0.431546296,0.700133615,0.179933391,0.052761511,5.946572625,1.094736931,1.077451915,0.074709036
B44,18123.81188,1.560874941,0.451636952,2.733389799,0.868005488,0.100977065,0.8455659,1.61356759,0.06372807,0.736010975,0.429131757,0.736006018,0.154421206,0.095590716,6.913325183,1.111231402,1.143397805,0.147070023
B45,18707.30833,1.616583166,0.463333019,2.802944606,0.877856599,0.10480452,0.860003367,1.70521482,0.064986415,0.755713197,0.449098605,0.755708128,0.13998234,0.0974782,7.361101987,1.120392264,1.144152989,0.184244074
B46,17999.12926,1.587749743,0.425442097,2.5561071,0.872876989,0.064248175,0.852917941,1.655556107,0.039900915,0.745753978,0.470259955,0.745748851,0.147070895,0.059850438,7.113563008,1.115808678,1.088747228,0.164574864
B47,15989.89395,1.361835884,0.375336997,2.250083536,0.83420638,0.060895055,0.799207956,1.267492497,0.040008611,0.66841276,0.391960028,0.668408093,0.200762538,0.060011874,5.180916667,1.080489055,1.089277801,0.010175244
B48,16298.97689,1.442805854,0.377352307,2.265579072,0.84842668,0.047558905,0.81949945,1.395511709,0.030857374,0.696853361,0.434758203,0.696848342,0.180482316,0.046285164,5.789029898,1.093601073,1.069151947,0.06389705
B49,16754.66556,1.454957489,0.412678194,2.47129648,0.850574554,0.080630756,0.822632548,1.415107037,0.052572533,0.701149109,0.406406091,0.701144149,0.177349027,0.078857456,5.883738889,1.095595355,1.119400243,0.071965264
