ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,16410.49959,1.449015024,0.354385639,2.226833784,0.84953631,0.003736506,0.821513379,1.415508232,0.004111583,0.699072619,0.458252986,0.699067708,0.178463334,1.449015024,5.92207848,1.094708065,1.01641717,0.068762314
A2,14671.02468,1.361790056,0.347774298,2.186131641,0.834087756,0.004811662,0.799267977,1.277607245,0.005444471,0.668175511,0.417250201,0.668170426,0.200707069,1.361790056,5.260581745,1.080414734,1.020914468,0.011296198
A3,14738.91775,1.380282311,0.354729008,2.220321138,0.837354418,0.011820908,0.80393643,1.306565113,0.009571483,0.674708837,0.420777778,0.674703671,0.196040009,1.380282311,5.398235192,1.083429739,1.029127306,0.023476779
A4,15537.47444,1.398713079,0.352393198,2.222304141,0.840311865,0.005771004,0.807493749,1.341603102,0.005468893,0.68062373,0.433408798,0.68061878,0.192481095,1.398713079,5.58177508,1.08601682,1.020134043,0.036659718
A5,16946.02201,1.467255307,0.361567477,2.252780809,0.852729163,0.014943712,0.826021641,1.444175386,0.010549629,0.705458325,0.46187713,0.705453498,0.173957204,1.467255307,6.057877978,1.097642502,1.028802153,0.080853887
A6,15900.50275,1.420329616,0.343874272,2.171105448,0.844439146,-0.007416242,0.814157355,1.37095996,-0.00242503,0.688878291,0.452944199,0.688873352,0.185817482,1.420329616,5.710840258,1.08998827,1.0034789,0.049961136
A7,16945.87809,1.531479974,0.414756756,2.613940085,0.86294416,0.074637326,0.838928775,1.584210841,0.047145744,0.725888321,0.448354969,0.725883181,0.161048139,1.531479974,6.851451934,1.106684759,1.109845562,0.128341748
A8,15544.33549,1.476968963,0.40642198,2.584248685,0.853416059,0.071130244,0.825397717,1.513475039,0.046276809,0.706832117,0.42601313,0.706826738,0.174575227,1.476968963,7.014791921,1.097913931,1.110895973,0.092058249
A9,15968.0637,1.46432588,0.367317195,2.296370382,0.852098253,0.01683965,0.824909012,1.442307313,0.011922387,0.704196507,0.45458482,0.704191378,0.175066742,1.46432588,6.056345134,1.097014075,1.032456385,0.079371463
A10,14517.19338,1.345950589,0.346575857,2.185844054,0.831006665,0.00844009,0.79427541,1.257900477,0.007570328,0.66201333,0.409885924,0.662008281,0.20570108,1.345950589,5.179384075,1.077442429,1.025553366,0.001832426
A11,16780.30486,1.52269763,0.403991537,2.548132633,0.86129582,0.065259926,0.83628748,1.570946775,0.041397785,0.722591641,0.453928168,0.722586491,0.163684577,1.52269763,6.787931748,1.105105009,1.09741409,0.122788313
A12,15969.94407,1.420797813,0.349032746,2.192497418,0.844505466,0.002894543,0.814182035,1.371361944,0.003547582,0.689010933,0.448687268,0.689006024,0.185790053,1.420797813,5.711280523,1.090035895,1.01527068,0.050271515
A13,16813.97062,1.477115238,0.367492038,2.296198233,0.854334212,0.022133875,0.828149932,1.464433949,0.015090903,0.708668425,0.461824326,0.708663487,0.171826513,1.477115238,6.168416532,1.099084809,1.039396412,0.08802074
A14,15721.93849,1.407274095,0.3503607,2.201162456,0.842059081,0.001723709,0.810550429,1.351102348,0.003018044,0.684118163,0.440069395,0.684113236,0.189431303,1.407274095,5.617253349,1.087747269,1.014618937,0.041543131
A15,16246.69602,1.464378681,0.374913514,2.349522921,0.851824262,0.027512096,0.823995427,1.449711591,0.018506693,0.703648524,0.447850703,0.703643482,0.175982289,1.464378681,6.112904876,1.096645544,1.047133864,0.080526961
A16,16592.75298,1.472383112,0.383624168,2.391016515,0.853158941,0.035453779,0.825700314,1.463322031,0.023019638,0.706317883,0.444173212,0.706312927,0.174278984,1.472383112,6.180299458,1.097834567,1.0556057,0.08602617
A17,17075.64781,1.495003638,0.375533119,2.351458716,0.857343028,0.034624662,0.832230592,1.497919299,0.022692552,0.714686055,0.463906016,0.714681108,0.167745281,1.495003638,6.345552632,1.101811646,1.055903146,0.100505447
A18,16114.97827,1.46007865,0.35878257,2.265618671,0.851341852,0.007468475,0.823908641,1.437988076,0.006511833,0.702683704,0.460089186,0.702678639,0.17606938,1.46007865,6.04439628,1.096330246,1.022311078,0.076765302
A19,16580.69329,1.510554136,0.392827588,2.484703928,0.859561284,0.058528001,0.834552713,1.538036223,0.037579306,0.719122567,0.456171276,0.719117388,0.165427295,1.510554136,6.583697412,1.1036665,1.089622148,0.113025567
A20,15807.54067,1.457650285,0.35831766,2.247756698,0.850883837,0.002672935,0.823058156,1.432325339,0.003559849,0.701767674,0.459594778,0.701762515,0.176912744,1.457650285,6.010107708,1.095870587,1.015465422,0.075069282
A21,16974.06697,1.506639857,0.386394379,2.411693399,0.859354092,0.037403824,0.835071659,1.517749464,0.024317168,0.718708184,0.460228623,0.718703156,0.164905982,1.506639857,6.444280757,1.103658483,1.059230832,0.108404319
A22,16898.6615,1.47887708,0.354399775,2.230058959,0.854678032,0.000633932,0.828702389,1.466727691,0.002292995,0.709356065,0.474435676,0.709351156,0.171278043,1.47887708,6.179053024,1.099414907,1.012753798,0.089057088
A23,16181.13491,1.462855951,0.367721387,2.314813541,0.851770138,0.018921643,0.824383497,1.443685625,0.013300727,0.703540276,0.453399899,0.70353521,0.175596477,1.462855951,6.075300181,1.096695813,1.03634971,0.078815762
A24,16009.56506,1.422324631,0.361417076,2.264638304,0.844642532,0.016450429,0.814146993,1.377019386,0.011935406,0.689285065,0.437878275,0.689280148,0.185824634,1.422324631,5.747167165,1.09011086,1.033583912,0.051804784
A25,16426.83762,1.490048719,0.375181088,2.354348553,0.856414383,0.023072118,0.830730267,1.490239788,0.015682303,0.712828766,0.461284884,0.712823657,0.169250441,1.490048719,6.308169171,1.100918155,1.040969343,0.09734922
A26,16180.89492,1.445755049,0.361644437,2.260404025,0.848909132,0.014554054,0.820534846,1.411420392,0.010587597,0.697818264,0.450270634,0.697813288,0.179448617,1.445755049,5.904900746,1.094109182,1.029960461,0.06681096
A27,16219.01845,1.482994304,0.378561278,2.369602378,0.854913518,0.042777329,0.828076554,1.484994535,0.027765615,0.709827036,0.455217399,0.709821876,0.171898808,1.482994304,6.299533242,1.099422708,1.067139878,0.093649919
A28,17723.16641,1.491147319,0.364902819,2.263075611,0.856885176,0.023458301,0.831873874,1.482989064,0.015470589,0.713770352,0.471843243,0.713765634,0.168108536,1.491147319,6.245631253,1.101457388,1.038359223,0.096850938
A29,15543.09955,1.406163705,0.355097553,2.220861687,0.841931802,0.013788173,0.810458406,1.347129201,0.010266906,0.683863605,0.434947831,0.68385861,0.189521494,1.406163705,5.591556792,1.087651443,1.029479425,0.040499922
A30,18140.64124,1.710660666,0.506685857,3.311848281,0.892170614,0.136949886,0.877707313,1.970868455,0.085819182,0.784341229,0.463115011,0.784335618,0.122274226,1.710660666,9.071695946,1.132950211,1.200704995,0.258671375
A31,16371.4372,1.460764247,0.379935459,2.368659006,0.851357751,0.042154142,0.823712873,1.440576355,0.027728196,0.702715503,0.441249535,0.702710502,0.176262207,1.460764247,6.059707877,1.096297767,1.067513619,0.077557631
A32,16567.9945,1.450958828,0.366040466,2.285929919,0.849782114,0.034303819,0.821701842,1.42043048,0.022767182,0.699564228,0.448935951,0.699559331,0.178283038,1.450958828,5.949766752,1.094896571,1.056288867,0.070403832
A33,15596.84504,1.398726884,0.362305467,2.259475505,0.840577286,0.021719641,0.808506788,1.336573576,0.015527004,0.681154572,0.423762614,0.681149598,0.191470768,1.398726884,5.544204538,1.086395316,1.041562806,0.035787557
A34,16049.80445,1.455745421,0.365611532,2.295661972,0.850569632,0.005444379,0.822808256,1.431840791,0.005311762,0.701139264,0.451653158,0.701134185,0.177165736,1.455745421,6.017691762,1.09561834,1.019713141,0.073968695
A35,16320.82303,1.468326849,0.356061905,2.224769949,0.852954636,0.004128407,0.826423387,1.445146657,0.004212111,0.705909272,0.46737641,0.705904246,0.173554611,1.468326849,6.060523297,1.097867837,1.015944149,0.081438933
A36,15809.00267,1.429153774,0.372411131,2.317131904,0.846111945,0.042844898,0.816736666,1.380588134,0.028666243,0.692223889,0.430279818,0.692218821,0.183243462,1.429153774,5.743011071,1.091573481,1.070077911,0.055243368
A37,15929.17611,1.412884016,0.344006792,2.173728491,0.842932957,-0.002556146,0.811607237,1.362918463,0.000511356,0.685865913,0.449114086,0.685861004,0.188364146,1.412884016,5.681867004,1.088512212,1.009832461,0.045719025
A38,15743.60877,1.423474597,0.343831928,2.18370097,0.844918429,-0.007541741,0.814789082,1.379687922,-0.002348013,0.689836857,0.454684489,0.689831847,0.185180294,1.423474597,5.764595404,1.090416869,1.00448834,0.052488297
A39,16452.34343,1.456803947,0.354497829,2.222366004,0.850880445,0.003583295,0.82344073,1.429604653,0.004005209,0.701760891,0.462905252,0.701755935,0.176537104,1.456803947,5.995246413,1.095947627,1.016246049,0.074114202
A40,15758.13322,1.469180165,0.390052324,2.428314008,0.852465873,0.061777329,0.824386329,1.459956296,0.039734403,0.704931745,0.436548742,0.704926512,0.175588758,1.469180165,6.167320324,1.097127435,1.09327634,0.084303262
A41,16306.27719,1.417681594,0.360645976,2.248871812,0.843845649,0.021117274,0.812908577,1.366850903,0.014521504,0.687691298,0.436062238,0.687686492,0.187074964,1.417681594,5.689089036,1.089356576,1.037789277,0.04844936
A42,16447.38168,1.400755815,0.333206744,2.102806225,0.841291319,-0.004078491,0.81016226,1.331631454,-0.000781494,0.682582638,0.451770804,0.682577975,0.189815619,1.400755815,5.499002681,1.087195971,1.005246402,0.035753285
