ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,15795.01569,1.365929525,0.370763341,2.25506011,0.832868007,0.075712988,0.792782128,1.304627312,0.050214581,0.665736013,0.400116128,0.665731247,0.207190786,0.075320546,5.425868724,1.078276924,1.113942501,0.019392345
A2,16142.99065,1.39445218,0.373320882,2.25513758,0.838479232,0.079682994,0.802265853,1.34288579,0.052431901,0.676958464,0.413935499,0.676953694,0.197710178,0.078646536,5.594450868,1.083765636,1.119003081,0.036621457
A3,15840.92834,1.379557732,0.367976047,2.229596132,0.835409244,0.067671823,0.796733411,1.324417871,0.043842888,0.670818489,0.411420323,0.670813709,0.203244761,0.065763197,5.516835438,1.080690041,1.097623819,0.027989567
A4,17011.673,1.478535109,0.395632703,2.385453642,0.852955011,0.08763863,0.82251635,1.486233933,0.056717175,0.705910022,0.439230221,0.7059051,0.177459512,0.085074404,6.306935972,1.09702127,1.129142092,0.093812219
A5,16335.99191,1.410728429,0.387733678,2.338408858,0.841171098,0.079302416,0.805641055,1.369683523,0.051320797,0.682342196,0.408339174,0.682337367,0.194335663,0.076979884,5.722679901,1.08615033,1.114106227,0.047809131
A6,15937.0431,1.384722389,0.365750876,2.220263153,0.836511531,0.070738875,0.798707176,1.329406144,0.046718059,0.673023061,0.41537394,0.67301826,0.201266802,0.070075866,5.533048989,1.081795157,1.106139074,0.030777057
A7,16184.25096,1.42568697,0.390097308,2.364495184,0.843938645,0.07689001,0.810048771,1.394296967,0.052042819,0.68787729,0.413633197,0.687872292,0.189928216,0.078062844,5.845336379,1.088797516,1.122978824,0.057560721
A8,15791.23055,1.390080103,0.375036585,2.277678182,0.837200855,0.072243,0.799249696,1.343908254,0.049271545,0.674401711,0.409723334,0.674396834,0.200724172,0.073906007,5.618249145,1.08233212,1.117319468,0.035321843
A9,15519.28335,1.370556823,0.367097645,2.220448039,0.834045546,0.063320656,0.795389202,1.30728191,0.041462867,0.668091091,0.406407727,0.668086206,0.204585176,0.062193143,5.428188746,1.079558529,1.09236396,0.021418726
A10,16084.49624,1.406904235,0.368239047,2.232879346,0.840474145,0.078063135,0.80480782,1.367496705,0.051981095,0.680948291,0.42586234,0.680943432,0.195173604,0.077970315,5.724790784,1.08553491,1.120344674,0.045673528
A11,15968.03834,1.424777532,0.388383754,2.348701599,0.84391429,0.071366662,0.810355871,1.390923749,0.048675127,0.687828579,0.414737305,0.687823482,0.189620126,0.073011329,5.824697997,1.08884745,1.115555089,0.056557451
A12,16789.62871,1.471775493,0.388732546,2.346057252,0.852005688,0.083337843,0.821605857,1.469824343,0.054532243,0.704011377,0.441391885,0.704006414,0.178372718,0.081797026,6.212869032,1.096243584,1.125332205,0.088414126
A13,16783.22251,1.462598573,0.395793392,2.369831476,0.850804915,0.082745602,0.82081314,1.447771481,0.053160289,0.701609831,0.429778524,0.7016049,0.179164494,0.079739125,6.088628486,1.09533416,1.118454276,0.080948775
A14,16670.74916,1.418636497,0.383837391,2.315419138,0.842655472,0.081424875,0.807961872,1.381198893,0.052972861,0.685310945,0.416900674,0.685306205,0.192015047,0.079458001,5.776042021,1.08756354,1.119479383,0.052774247
A15,16595.74164,1.492912834,0.398613039,2.400886523,0.856130576,0.081381313,0.828584872,1.50024381,0.053663962,0.712261151,0.442748665,0.712255955,0.171396357,0.08049454,6.354523204,1.10027777,1.124849079,0.10141503
A16,16502.7555,1.445781597,0.391612183,2.380856437,0.846879864,0.084514378,0.813105689,1.438359737,0.055927245,0.693759728,0.423964836,0.693754743,0.186864482,0.083889413,6.086826393,1.091260175,1.129271836,0.073039815
A17,16473.78366,1.460606526,0.400219263,2.40548414,0.850043639,0.089810374,0.818935261,1.452639276,0.058083413,0.700087277,0.42426004,0.700082208,0.181044177,0.087123613,6.131807829,1.094456976,1.130614794,0.081098853
A18,15929.49693,1.416763258,0.379116104,2.294926438,0.842335825,0.071984125,0.807472078,1.377394012,0.047776209,0.684671651,0.419523216,0.68466665,0.192501647,0.07166303,5.755199881,1.087263908,1.110022488,0.051442325
A19,15512.19767,1.391907068,0.382284138,2.321206085,0.838002306,0.070126857,0.801584879,1.340275083,0.048325007,0.676004613,0.402432772,0.675999554,0.198390646,0.072486151,5.586030719,1.08332378,1.1154358,0.035128634
A20,15357.13114,1.36598666,0.361378324,2.195418326,0.832805585,0.059507463,0.792493803,1.305558964,0.038896155,0.665611169,0.409975246,0.665606271,0.207479904,0.058343134,5.432106292,1.07817757,1.086806836,0.019627258
A21,17022.86069,1.504647406,0.413889585,2.477053238,0.85849463,0.090796163,0.832502153,1.511933583,0.057950095,0.716989259,0.434682872,0.716984143,0.167465502,0.08692369,6.391315646,1.102581797,1.129502034,0.108055165
A22,16323.29754,1.385344248,0.373938315,2.25794537,0.836710392,0.063664146,0.79924072,1.32861195,0.041500215,0.673420783,0.407846577,0.673416062,0.200733603,0.062249214,5.524176163,1.082030142,1.091926638,0.030899702
A23,16071.18477,1.413213789,0.389760536,2.343507513,0.841918543,0.084017213,0.807477798,1.369616117,0.055000784,0.683837086,0.407491356,0.683832139,0.192499463,0.082499736,5.713601921,1.087003104,1.123921484,0.048561548
A24,17037.50709,1.493128063,0.395254837,2.391647539,0.85531834,0.088814734,0.825539171,1.514468712,0.057965375,0.71063668,0.447534776,0.710631686,0.174432956,0.086946662,6.455435061,1.099123361,1.134152337,0.104305552
A25,16168.76162,1.388182498,0.370746193,2.240563168,0.837111446,0.058777968,0.799581971,1.334547747,0.038251265,0.674222893,0.412577925,0.674218133,0.200394841,0.057375863,5.5558743,1.082350144,1.085080275,0.033077425
