ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,15920.86938,1.247591135,0.313556783,2.036147706,0.812599655,-0.020691764,0.766254332,1.126860992,-0.010803303,0.625199311,0.389987319,0.625195192,0.233721038,-0.016205046,4.615921457,1.060063973,0.987949788,-0.058960396
A2,13056.08095,1.113884945,0.299963649,1.967989474,0.786339852,-0.010968626,0.723301629,0.959629998,-0.004502026,0.572679704,0.33216695,0.572675404,0.276669526,-0.006753397,3.91787755,1.034639391,1.002920738,-0.138363036
A3,13659.12391,1.14562772,0.300113719,1.978898427,0.792319823,-0.01099048,0.73243982,1.001943107,-0.004665453,0.584639646,0.348904696,0.584635374,0.267533398,-0.006998514,4.101064297,1.04029497,1.002728342,-0.118844061
A4,14476.39954,1.155086279,0.301440963,1.96776709,0.794656541,-0.014588031,0.737415597,1.008558699,-0.007421595,0.589313083,0.353279166,0.589309031,0.262562275,-0.011132566,4.115116006,1.04279901,0.994791195,-0.114518881
A5,16398.65246,1.274023407,0.315102835,2.047905597,0.817518507,-0.020444056,0.773686713,1.163163011,-0.010622966,0.635037014,0.40239992,0.635032893,0.226290315,-0.015934536,4.775954409,1.064696177,0.988233374,-0.042489276
A6,15340.25779,1.211749078,0.308513481,2.010330165,0.805528729,-0.023368814,0.754597948,1.082630274,-0.012503978,0.611057457,0.376360598,0.611053353,0.245372372,-0.018756049,4.433040152,1.053200526,0.985068595,-0.08013555
A7,15629.90836,1.339828388,0.363921729,2.342957828,0.828670931,0.025274022,0.788827065,1.280412534,0.017670863,0.657341862,0.391542017,0.657337198,0.211147607,0.02650557,5.377952144,1.074811768,1.049649592,0.00284843
A8,13984.93388,1.286257272,0.364380764,2.353071951,0.818382173,0.032138811,0.772572245,1.235899786,0.022824336,0.636764346,0.363181186,0.636759416,0.227405482,0.034235538,5.003201013,1.064970608,1.062033654,-0.029334723
A9,15846.07215,1.305777071,0.337142566,2.165544154,0.823223013,0.003433429,0.782085196,1.211599206,0.004189305,0.646446025,0.398191286,0.646441576,0.217890017,0.00628353,3.786152869,1.070013568,1.01948542,-0.021850693
A10,12172.36046,1.073489046,0.294398177,1.951967182,0.777210052,-0.001739916,0.704992494,0.920727621,0.000854182,0.554420104,0.315980873,0.554415791,0.294979335,0.001280813,5.613727965,1.025107446,1.013761926,-0.159388177
A11,15531.02225,1.364257936,0.371647712,2.403787419,0.832899935,0.027028017,0.794876213,1.324927653,0.018915799,0.66579987,0.397696421,0.665795045,0.205102957,0.028372921,4.436390758,1.078709726,1.053411963,0.019546136
A12,15167.70134,1.212303336,0.316382105,2.044440838,0.805614108,-0.009072118,0.754722354,1.083461793,-0.003972274,0.611228216,0.369218066,0.611224073,0.245257403,-0.005958638,4.634199341,1.0532768,1.001787198,-0.079737586
A13,15378.17917,1.247373191,0.318616246,2.060777148,0.812357346,-0.015861654,0.765518785,1.129469148,-0.00781186,0.624714691,0.385413529,0.624710419,0.23446084,-0.01171796,4.303944807,1.059753023,0.994475697,-0.05843663
A14,14814.50988,1.19294551,0.310679384,2.010816613,0.802161035,-0.019725551,0.749843564,1.054708957,-0.010200209,0.604322071,0.36420146,0.60431791,0.250129109,-0.015300448,5.059432702,1.050098103,0.989711227,-0.092257978
A15,15577.83725,1.30766245,0.346984363,2.227171753,0.82324286,0.012473652,0.781451377,1.220339179,0.009902998,0.64648572,0.389818409,0.646481195,0.218523104,0.014853942,5.045896728,1.06988848,1.032236055,-0.019536273
A16,15663.99185,1.308603254,0.341019322,2.194068897,0.823581945,0.009134835,0.782294993,1.218909607,0.007810274,0.647163891,0.395957331,0.647159384,0.217678442,0.01171491,4.808549054,1.07027984,1.027489004,-0.019497038
A17,15845.63356,1.274958744,0.317180945,2.066483933,0.817514223,-0.012864523,0.773429711,1.16819314,-0.005907462,0.635028446,0.400969206,0.635024175,0.226552752,-0.008861392,4.901992291,1.064632676,0.998510516,-0.04121821
