ID,DVI,EVI,GNDVI,GRVI,IPVI,LCI,MSAVI,MSRI,NDRE,NDVI,NGRVI,OSAVI,RVI,SAVI,SRI,TDVI,VREI,WDRVI
A1,18306.04036,1.489984914,0.364872121,2.2730654,0.856553701,0.016756159,0.831274048,1.487092131,0.011320432,0.713107402,0.471774632,0.713102823,0.168705938,0.01698027,6.285059959,1.101120459,1.029709853,0.096779637
A2,15935.86066,1.324903805,0.327341973,2.085420505,0.826588601,0.010219242,0.786350894,1.235971566,0.00773184,0.653177202,0.418327485,0.653172749,0.213628926,0.011597367,5.101995764,1.073018798,1.023435443,-0.009830941
A3,16046.20391,1.326057144,0.326593008,2.071576223,0.826720006,0.012802874,0.78616855,1.236750603,0.009126455,0.653440012,0.419921804,0.653435591,0.213806464,0.013689286,5.101601855,1.073068464,1.025591914,-0.009066721
A4,17831.63233,1.444091596,0.36213602,2.236967233,0.84871698,0.022683229,0.820447271,1.406426729,0.014931274,0.69743396,0.450074703,0.697429458,0.179530523,0.02239646,5.874867784,1.093974258,1.036953555,0.065314853
A5,18833.49351,1.520635944,0.379199138,2.343688428,0.861756428,0.035749538,0.838413511,1.542080596,0.022610571,0.723512855,0.475859938,0.723508279,0.161566854,0.033915293,6.568188475,1.105853876,1.053176497,0.117934487
A6,17881.89698,1.438030364,0.348839899,2.177238764,0.847279809,0.013860397,0.817651199,1.404571985,0.009488073,0.694559618,0.459392534,0.694555175,0.182325545,0.014231772,5.886757095,1.092485993,1.025493401,0.062633773
A7,18592.70196,1.603063398,0.437460849,2.759151033,0.874903257,0.083871921,0.855354917,1.728538741,0.052041533,0.749806514,0.468883626,0.749801507,0.144627778,0.078061107,7.648735116,1.117554797,1.119515277,0.179226575
A8,16572.95591,1.509245824,0.424591557,2.689178127,0.858630652,0.087931676,0.832045439,1.556517159,0.056179585,0.717261303,0.426339673,0.717256127,0.167929809,0.084267916,6.735437873,1.102543971,1.13108417,0.115088339
A9,17773.56577,1.4609119,0.350604509,2.195534079,0.851279371,0.007937814,0.823347631,1.442455356,0.005993509,0.702558742,0.46948594,0.702554171,0.176630352,0.008989987,6.07377841,1.096170948,1.018361301,0.077948891
A10,15759.97423,1.323812062,0.327335674,2.088491652,0.82620547,0.010226748,0.78543696,1.237661082,0.007687371,0.65241094,0.417896216,0.652406443,0.214542144,0.011530657,5.118171373,1.072584371,1.023487177,-0.009892095
A11,18277.70231,1.603176982,0.434738452,2.762100858,0.874689579,0.081773507,0.854705837,1.739135452,0.050919234,0.749379158,0.471946251,0.749374057,0.145279504,0.076377633,7.738243473,1.117278397,1.118090598,0.180436421
A12,17780.13533,1.439724683,0.353869314,2.209985789,0.847497316,0.015999936,0.817806959,1.4091597,0.010826911,0.694994631,0.455599977,0.694990151,0.18217557,0.016239995,5.914280052,1.092651482,1.028583413,0.06405267
A13,18779.16124,1.506216248,0.371864144,2.304213557,0.859066114,0.043298831,0.834221059,1.521099934,0.027291605,0.718132228,0.475131859,0.718127699,0.165758264,0.040936752,6.470966382,1.103296715,1.063230631,0.10884601
A14,17724.74336,1.437597892,0.360439599,2.227784046,0.847574413,0.024720244,0.818813279,1.396263999,0.016189805,0.695148825,0.448116686,0.695144322,0.181160507,0.024284229,5.826914716,1.092920502,1.039565814,0.061020168
A15,17633.9604,1.48980492,0.375085064,2.347965839,0.856155393,0.036026519,0.83010761,1.497743233,0.02311784,0.712310786,0.462709404,0.712306023,0.169866173,0.034676108,6.368527107,1.100619109,1.055593504,0.098237571
A16,17753.48775,1.508498369,0.388310481,2.41411692,0.859593949,0.045673888,0.835295514,1.523397026,0.028976868,0.719187897,0.460258342,0.719183077,0.164684025,0.043464542,6.479131173,1.103851649,1.067932231,0.110027389
A17,18772.7789,1.521232218,0.376867162,2.345487047,0.861621534,0.040048907,0.837830837,1.550401939,0.025327839,0.723243068,0.478534952,0.72323846,0.1621539,0.037991115,6.630656939,1.105640484,1.059558423,0.119357706
A18,17915.37978,1.472441018,0.355855212,2.243616353,0.853226502,0.008728997,0.82606746,1.465848056,0.006646155,0.706453004,0.470717618,0.706448415,0.173904896,0.009968926,6.20323746,1.097952304,1.020785444,0.086124697
A19,18454.01483,1.59728192,0.428231868,2.704386694,0.873959798,0.07423018,0.85399714,1.712500897,0.046212371,0.747919596,0.473452986,0.747914572,0.14598082,0.069317464,7.544129625,1.116687845,1.106738419,0.174817362
A20,17860.75079,1.455645875,0.352829988,2.195945733,0.850436775,0.008223173,0.822319133,1.432214572,0.006125538,0.70087355,0.46514227,0.700869009,0.177659882,0.009188024,6.019465549,1.095431325,1.018440174,0.074155063
A21,18563.12748,1.535349598,0.384383377,2.401835366,0.863954658,0.053651511,0.840978978,1.579699972,0.033806959,0.727909317,0.479304502,0.727904597,0.158996596,0.050709608,6.794125865,1.107750931,1.078908058,0.129512475
A22,18531.20962,1.503709167,0.368464664,2.291993318,0.858882529,0.025895737,0.834452388,1.51140494,0.016747911,0.717765058,0.475990265,0.717760484,0.165528717,0.025121401,6.409348501,1.103235718,1.040869002,0.106224706
A23,17857.8228,1.464251079,0.358448675,2.254107002,0.851698058,0.017251657,0.823713866,1.453781456,0.011686167,0.703396116,0.464138828,0.703391543,0.176266641,0.017528845,6.146735535,1.096502731,1.03106558,0.080958495
A24,17681.80765,1.464163593,0.364322261,2.264143009,0.8520686,0.027371235,0.824974286,1.44480406,0.017868666,0.7041372,0.458967575,0.704132553,0.174999586,0.02680246,6.078908425,1.097007255,1.044032272,0.079465114
A25,18111.65269,1.474540477,0.35833703,2.239171359,0.853617225,0.023278033,0.826634478,1.467131575,0.015177358,0.70723445,0.470014629,0.707229907,0.173339517,0.022765594,6.20185878,1.098315114,1.037648355,0.087330082
A26,17944.0444,1.441744409,0.351908138,2.191843838,0.847970162,0.016533413,0.818725443,1.409919849,0.011111419,0.695940325,0.458539586,0.695935877,0.181257323,0.016666762,5.911573834,1.093140466,1.028818293,0.064966096
A27,17651.7638,1.564229274,0.41411789,2.611912943,0.868251229,0.067288419,0.84584592,1.655504511,0.042152843,0.736502458,0.469119149,0.736497328,0.154128639,0.063228162,7.261558325,1.11142933,1.098277802,0.152240608
A28,19577.59079,1.54175847,0.389128221,2.388038772,0.865415313,0.044496366,0.843512497,1.575424968,0.027630937,0.730830626,0.478211451,0.730826155,0.15646816,0.041445801,6.724427952,1.109201856,1.062767699,0.132068162
A29,17655.81087,1.435608469,0.359646513,2.221224281,0.847254595,0.027045005,0.818404023,1.391980149,0.017684336,0.694509189,0.447773699,0.694504662,0.181571711,0.026525985,5.802718981,1.092635832,1.042873234,0.059561102
A30,19581.66512,1.764944742,0.524173691,3.447132168,0.900894698,0.139991806,0.889139554,2.092747374,0.086699151,0.801789396,0.479789021,0.801783959,0.110840541,0.130046815,9.763778724,1.140756039,1.201138679,0.298941376
A31,17363.1853,1.507478866,0.396094791,2.468400275,0.859219087,0.057724284,0.834515073,1.530576706,0.036606193,0.718438173,0.453232762,0.718433214,0.165463561,0.05490831,6.543772638,1.103448037,1.085653892,0.110367975
A32,18446.88302,1.480478189,0.374877688,2.310536671,0.854940733,0.046006986,0.829038495,1.469451628,0.029077876,0.709881465,0.458136448,0.709876945,0.170940325,0.043616102,6.192229368,1.099649068,1.0670873,0.090172126
A33,16933.40615,1.396969097,0.353688235,2.205478109,0.839701379,0.042074371,0.805975922,1.342765662,0.027249362,0.679402758,0.432567515,0.679398223,0.194003948,0.040873292,5.595018372,1.085311847,1.063887529,0.03642623
A34,17847.23759,1.46765653,0.356972307,2.237263733,0.85243991,0.017139696,0.825092675,1.457032437,0.011594505,0.70487982,0.467580844,0.704875227,0.174882543,0.017391358,6.15739387,1.097256912,1.030723198,0.082767962
A35,18251.67637,1.508970131,0.374612081,2.321655281,0.859763505,0.020116937,0.835648323,1.521054048,0.013264186,0.719527011,0.473487451,0.719522332,0.164336623,0.019895863,6.459036486,1.104033243,1.033514403,0.109908112
A36,16986.8008,1.413027281,0.358945088,2.241445816,0.842759722,0.043404184,0.810942832,1.365469726,0.02815835,0.685519444,0.43580631,0.685514849,0.189037267,0.042236746,5.698080345,1.088259561,1.066396464,0.046400275
A37,17231.52281,1.445949033,0.348717336,2.19257072,0.848499437,0.01594215,0.81912911,1.42218172,0.011004429,0.696998873,0.463480739,0.696994189,0.180852681,0.016506217,5.98559187,1.093549603,1.029611021,0.068625297
A38,17921.06496,1.449701557,0.351782129,2.202003123,0.849306432,0.005063086,0.820523094,1.425217821,0.004246683,0.698612864,0.462848922,0.698608373,0.179459595,0.006369775,5.993537819,1.09434906,1.015031578,0.070555479
A39,18352.79677,1.45651006,0.350454511,2.174039086,0.850620501,0.016125522,0.822508682,1.430201909,0.010755252,0.701241003,0.46769259,0.701236599,0.177474675,0.016132543,5.998008174,1.095588714,1.02751577,0.074393961
A40,17989.98327,1.580332932,0.440734975,2.758560781,0.871434717,0.098642526,0.85107709,1.668260371,0.0619464,0.742869434,0.451344333,0.74286432,0.148892393,0.092918124,7.273892339,1.114516451,1.142509117,0.161454506
A41,18276.28341,1.465322672,0.372833388,2.294611477,0.85234731,0.051021469,0.825467021,1.44288353,0.032282012,0.70469462,0.451708167,0.704690114,0.1745245,0.048422237,6.057018848,1.097283347,1.073789611,0.079805924
A42,18139.87611,1.440361139,0.340941843,2.144256729,0.847625151,0.001081669,0.817780923,1.406814049,0.001788347,0.695250302,0.466958021,0.695245923,0.182199737,0.002682343,5.89214446,1.092733004,1.009243522,0.064129785
A43,17961.8349,1.498437048,0.360967681,2.27061833,0.857743956,0.021431128,0.832548394,1.511181295,0.014185671,0.715487913,0.480498089,0.715483216,0.167432875,0.021278051,6.434092008,1.102120066,1.036608674,0.103773084
A44,17709.30863,1.440161526,0.360311965,2.222142194,0.848012391,0.020827481,0.819395428,1.400276295,0.01375062,0.696024782,0.449888741,0.696020268,0.180586515,0.020625508,5.845835757,1.09331418,1.034145383,0.062731512
A45,18869.37836,1.544819852,0.392609984,2.427830337,0.865746962,0.050621963,0.843744654,1.58959188,0.031587075,0.731493924,0.477095532,0.731489249,0.156247414,0.047379871,6.823497369,1.109447749,1.072695959,0.1351863
A46,17698.57702,1.4473292,0.347645178,2.182328717,0.848953545,0.013307066,0.820209332,1.420533359,0.009289462,0.697907091,0.465076089,0.697902554,0.179770023,0.013933844,5.968457338,1.094063304,1.025678962,0.068811287
A47,18292.98634,1.471492293,0.362234115,2.249824878,0.852988912,0.03158446,0.825564347,1.463467595,0.020220395,0.705977824,0.465352352,0.705973316,0.174415511,0.030330045,6.186226774,1.097695717,1.048095415,0.085600115
A48,17900.3253,1.462046268,0.348969259,2.199211692,0.851580761,0.003519886,0.824014552,1.442580622,0.003578312,0.703161522,0.470855799,0.70315694,0.175952993,0.005367202,6.069570496,1.096501576,1.0141335,0.078394739
A49,18095.16915,1.430605959,0.343383945,2.138637035,0.846143971,-0.003220965,0.81602398,1.384260716,-0.000931792,0.692287942,0.459552858,0.692283602,0.18395483,-0.001397796,5.763069813,1.09144918,1.00280104,0.056655284
A50,18808.13993,1.497330863,0.363412788,2.252066377,0.857825043,0.024207662,0.833041474,1.498599631,0.015555813,0.715650086,0.477400792,0.71564561,0.166940301,0.023333304,6.338691673,1.102282554,1.037496341,0.101688237
B1,17487.85138,1.503598813,0.379583096,2.408830312,0.858678243,0.040873242,0.833921931,1.517275249,0.026867104,0.717356487,0.463747922,0.717351566,0.166055693,0.040299825,6.453849142,1.102991472,1.066595508,0.1070454
B2,17532.05408,1.427188393,0.350595343,2.208007427,0.845734693,0.017689192,0.816202086,1.379753273,0.012371764,0.691469385,0.449700003,0.691464868,0.183782449,0.0185572,5.746962753,1.091223612,1.03301485,0.054170442
B3,16904.44885,1.352432109,0.335276155,2.108649532,0.832816438,0.003989833,0.79813988,1.254160979,0.004308622,0.665632876,0.423522526,0.665628541,0.201846198,0.006462639,5.126096831,1.079392451,1.016120975,0.003636691
B4,17823.45747,1.431066673,0.347330875,2.174878043,0.846566638,0.011659181,0.817586376,1.380874599,0.008569251,0.693133276,0.455121182,0.693128832,0.182391838,0.01285354,5.737444802,1.092038525,1.024357987,0.056035578
B5,18093.18588,1.449855306,0.350892632,2.194756324,0.849632796,0.018601191,0.821543783,1.417361523,0.012565163,0.699265592,0.462265511,0.699261126,0.17844381,0.018847335,5.931978106,1.09477165,1.032106339,0.069454569
B6,17402.16659,1.401640127,0.343927732,2.154400643,0.841492677,0.010717025,0.810510965,1.331217802,0.008104432,0.682985354,0.442093607,0.682980927,0.189466558,0.012156306,5.491448051,1.08739607,1.02342227,0.036104104
B7,17856.3293,1.446439122,0.357701174,2.220293497,0.849251051,0.018519963,0.821366369,1.405617125,0.01251629,0.698502103,0.454252486,0.698497593,0.17860863,0.018774031,5.856863585,1.094504339,1.0320015,0.066278164
B8,18184.72854,1.459622441,0.352025685,2.196092703,0.85140249,0.016189736,0.824189367,1.431575489,0.01106855,0.70280498,0.466753509,0.702800504,0.175783909,0.016602459,5.99545261,1.0964321,1.029047691,0.075755145
B9,16786.80496,1.405547049,0.328936189,2.120721219,0.84196507,0.006903596,0.810872979,1.343696643,0.006411468,0.683930139,0.456748466,0.683925512,0.189103279,0.009616805,5.568430833,1.087759839,1.022556803,0.039649914
B10,18841.02448,1.517651564,0.375534062,2.341380796,0.861214339,0.035405369,0.837592621,1.536602745,0.022637465,0.722428678,0.476523006,0.722424101,0.162384121,0.033955603,6.53731958,1.105344468,1.053989371,0.115975884
B11,17198.33228,1.395067121,0.349046309,2.183943241,0.840280034,0.011933269,0.80870457,1.322684917,0.008884355,0.680560069,0.433936719,0.680555592,0.191275638,0.013326139,5.456244123,1.086259313,1.025369335,0.032014889
B12,18487.10165,1.455805094,0.358524068,2.220197763,0.850913778,0.028688473,0.823762246,1.419780523,0.018516375,0.701827556,0.458513131,0.701823184,0.176221279,0.027774094,5.922387044,1.096041659,1.043950378,0.072395897
B13,16925.22959,1.340746589,0.315601223,1.999495027,0.830696824,-0.011690509,0.795000946,1.237143232,-0.005495494,0.661393649,0.436360098,0.66138939,0.204980856,-0.008243307,5.04889113,1.077412691,0.99472969,-0.003855798
B14,17177.22942,1.394622103,0.330275861,2.082988974,0.840143006,-0.006234696,0.808374291,1.322682464,-0.002353338,0.680286013,0.451418299,0.680281582,0.191605506,-0.003530129,5.457615347,1.086103943,1.001078991,0.031889178
B15,17350.26745,1.439626394,0.343469002,2.164889539,0.84790615,0.005135803,0.819219788,1.399111717,0.004663067,0.6958123,0.463333897,0.695807674,0.180752745,0.006994296,5.837927508,1.093212451,1.016608225,0.062407605
B16,17336.22298,1.412850819,0.355054403,2.212592472,0.843419999,0.020452175,0.813178612,1.349927416,0.013947815,0.686839998,0.437800019,0.6868355,0.186794183,0.020921265,5.583078943,1.089156237,1.035577991,0.043701256
B17,16735.21654,1.337119118,0.309316279,1.981657011,0.829894014,-0.009022284,0.793601349,1.235881791,-0.003808297,0.659788028,0.440179367,0.659783724,0.206382543,-0.005712569,5.054984992,1.076613873,0.998675236,-0.005550267
B18,16229.17307,1.273521779,0.303261503,1.947436005,0.818526248,-0.01335179,0.777169406,1.140366252,-0.006279139,0.637052496,0.412060372,0.637048373,0.222812531,-0.009418787,4.613008494,1.066077852,0.994051614,-0.046848957
B19,17029.68359,1.381138972,0.338718248,2.136818666,0.837767352,0.00442409,0.805046827,1.302600797,0.004395005,0.675534704,0.436125398,0.675530262,0.194933206,0.006592203,5.365744434,1.083924228,1.016477868,0.023089656
B20,17227.93725,1.387470427,0.329944076,2.078375577,0.838992649,0.001708283,0.806901661,1.308674318,0.002570276,0.677985299,0.447717229,0.677980903,0.193075317,0.003855191,5.383675662,1.085082053,1.011539418,0.026711393
B21,17410.8837,1.358349999,0.33073671,2.066154368,0.833947545,-0.000194432,0.799899662,1.261399628,0.001193119,0.667895091,0.431913393,0.667890889,0.200092051,0.001789519,5.155285189,1.08046784,1.007669103,0.007187515
B22,17804.36035,1.393673367,0.325293947,2.057735666,0.840080123,0.002665695,0.808463477,1.318824923,0.003055348,0.680160246,0.455253939,0.680155975,0.191510305,0.004582807,5.433039662,1.086087304,1.012309823,0.030859988
B23,17093.40034,1.418606034,0.335596008,2.148410011,0.84403641,-0.000649686,0.813315552,1.369209736,0.001473036,0.688072819,0.458544272,0.688068223,0.186653491,0.002209282,5.703898184,1.089561971,1.011324659,0.049089187
B24,17180.15402,1.438356682,0.333098831,2.136060091,0.847580125,-0.000756675,0.818653002,1.401116862,0.001398429,0.695160251,0.471555793,0.695155578,0.181326136,0.002097372,5.859609683,1.092885006,1.01109979,0.062102114
B25,16136.41509,1.302878912,0.303253639,1.958753462,0.823842207,-0.019518255,0.784923099,1.18244426,-0.00983551,0.647684413,0.426919046,0.647680099,0.215050862,-0.014753314,4.801959775,1.071024025,0.987418351,-0.028097671
B26,17047.62238,1.38752771,0.329007233,2.10400448,0.83892431,0.009557137,0.806736963,1.311436522,0.00798025,0.677848621,0.447389505,0.677844145,0.193244126,0.011969963,5.403985648,1.085000557,1.025389067,0.027152705
B27,16741.58032,1.322167958,0.318656133,2.020880997,0.827279933,-0.005998375,0.789927365,1.211883696,-0.002022141,0.654559866,0.423844668,0.654555652,0.210055105,-0.003033354,4.939361644,1.074214351,1.002367311,-0.015497158
B28,17235.83508,1.411488991,0.334828961,2.126516689,0.842986087,0.002262171,0.812232334,1.353083146,0.003130463,0.685972175,0.455690842,0.685967647,0.18773716,0.00469541,5.613180839,1.088683074,1.013854058,0.043609067
B29,17198.66827,1.393790568,0.331877626,2.118373919,0.839902209,-0.002748097,0.807939226,1.324952215,0.000201341,0.679804419,0.448693135,0.679799948,0.192038163,0.000301764,5.478770456,1.085859145,1.00836862,0.031837771
B30,17843.46793,1.438656044,0.350104864,2.19260813,0.847814151,0.008736908,0.819229635,1.395234893,0.006720837,0.695628301,0.456784389,0.695623822,0.180754673,0.010080949,5.812614126,1.093156771,1.020439238,0.061423964
B31,18155.8608,1.442041237,0.327076691,2.074483546,0.848415157,-0.006099733,0.820035769,1.400067702,-0.002183242,0.696830313,0.479247331,0.696825912,0.179927704,-0.003274989,5.834280448,1.093705873,1.001652575,0.063594597
B32,17436.96391,1.384747798,0.326303278,2.068015843,0.838561621,0.009384325,0.806410686,1.303672859,0.00745792,0.677123242,0.449088278,0.677118889,0.193572075,0.011186535,5.358027398,1.084709678,1.022494945,0.02476982
B33,19324.96131,1.528488148,0.397626053,2.432925036,0.863249637,0.053878107,0.840678523,1.54798584,0.0335323,0.726499274,0.462699149,0.726494774,0.159318932,0.050297717,6.572226222,1.107259746,1.075684536,0.122476452
B34,18344.48103,1.460790438,0.354512949,2.215912922,0.851714314,0.023623026,0.824786726,1.429638983,0.015615803,0.703428628,0.464333684,0.703424192,0.175194144,0.023423263,5.974419814,1.096753533,1.038678072,0.076023872
B35,17944.99631,1.481317278,0.34919301,2.215807974,0.854920143,0.013336527,0.828779679,1.477155011,0.009641953,0.709840286,0.480719556,0.709835625,0.171190242,0.014462519,6.249256947,1.099578202,1.027767844,0.091550549
B36,17006.60358,1.346972674,0.33087302,2.081087452,0.831884818,0.00547104,0.79683356,1.244697664,0.005012446,0.663769637,0.424740734,0.663765352,0.203140669,0.007518383,5.078887731,1.078541587,1.01671053,-0.00011332
